Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Abbey Road,539081,183352,51.531951986717097,0.003723371097171,"3",E15 3NB
Abbey Wood,547297,179002,51.490784095703098,0.120271969782359,"4",SE2 9RH
Acton Central,520613,180299,51.508757780189597,-0.263430199363473,"2",W3 6BD
Acton Main Line,520296,181196,51.516886931048298,-0.267689952184077,"3",W3 0BP
Acton Town,519457,179639,51.503071442963503,-0.280302701406010,"3",W3 8HN
Addington Village,537082,163744,51.356238590430102,-0.032665100391443,"3,4,5,6",CR0 5AR
Addiscombe,534190,166290,51.379808289594102,-0.073213282826759,"3,4,5,6",CR0 7AA
Albany Park,547903,172902,51.435815606227699,0.126444637772442,"5",DA5 3HP
Aldgate,533629,181246,51.514342378741503,-0.075626912650157,"1",EC3N 1AH
Aldgate East,533809,181333,51.515081622640402,-0.073001462725814,"1",E1 7PT
Alexandra Palace,530300,190498,51.598262822649701,-0.120148972194536,"3",N22 7ST
All Saints,538012,180933,51.510476924440603,-0.012624885368483,"2",E14 0EH
Alperton,518025,183849,51.541209274361400,-0.299515758699207,"4",HA0 4LL
Amersham,496454,198181,51.674129317942104,-0.606513789355774,"9",HP6 5AZ
Ampere Way,530674,166476,51.382299420008998,-0.123636799345144,"3,4,5,6",CR0 3JX
Anerley,534656,169942,51.412516717902399,-0.065137100121253,"4",SE20 8AG
Angel,531497,183263,51.532968015689107,-0.105581448946398,"1",N1 8XB
Angel Road,535204,192202,51.612420319590001,-0.048732919373546,"4",N18 3AY
Archway,529356,186827,51.565490534077398,-0.135121576677549,"2,3",N19 5RQ
Arena,535192,167620,51.391522751976801,-0.058318550080512,"3,4,5,6",SE25 4RY
Arnos Grove,529271,192471,51.616230141680198,-0.134270218764562,"4",N11 1AN
Arsenal,531429,186107,51.558541375719301,-0.105499933602789,"2",N5 1LP
Avenue Road,535764,169335,51.406797982744202,-0.049446937112127,"3,4,5,6",BR3 4NJ
Baker Street,527965,182078,51.523129620439107,-0.156904194412620,"1",NW1 5LA
Balham,528482,173195,51.443182562032597,-0.152685163343656,"3",SW12 9SG
Bank,532704,181111,51.513347062295999,-0.089000123949670,"1",EC3V 3LA
Banstead,524590,160426,51.329293122952201,-0.213132336180543,"6",SM7 1RB
Barbican,532079,181859,51.520215283541098,-0.097721578640309,"1",EC1A 4JA
Barking,544405,184343,51.539521113341301,0.080831610012865,"4",IG11 8TU
Barkingside,544788,189510,51.585850613937801,0.088476639639211,"4",IG6 1NB
Barnehurst,550206,176193,51.464780286885897,0.160948022415047,"6",DA7 6HQ
Barnes,522209,175705,51.467127772708501,-0.242033062031602,"3",SW13 0LW
Barnes Bridge,521478,176255,51.472228052683697,-0.252362617035817,"3",SW13 0NR
Barons Court,524133,178322,51.490228681975893,-0.213430145064537,"2",W14 9DP
Battersea Park,528703,176999,51.477318323120997,-0.148123761663195,"2",SW8 4NB
Bayswater,525845,180799,51.512111288366697,-0.187901573927441,"1",W2 4QH
Beckenham Hill,538002,171379,51.424626057956999,-0.016495761983281,"4",SE6 3NU
Beckenham Junction,537403,169840,51.410941641376098,-0.025701739150789,"4",BR3 1HY
Beckenham Road,536177,169650,51.409529748359901,-0.043391922075085,"3,4,5,6",BR3 4RR
Beckton,543145,181509,51.514376629554000,0.061525296932328,"3",E6 5NT
Beckton Park,542697,180887,51.508900793712201,0.054821938864239,"3",E6 5NE
Becontree,547598,184442,51.539585409262401,0.126880291739040,"5",RM9 4TP
Beddington Lane,529367,167215,51.389239881920702,-0.142138434359917,"3,4,5,6",CR0 4TF
Belgrave Walk,526805,168455,51.400961646390499,-0.178496474053518,"3,4,5,6",CR4 4NY
Bellingham,537702,172399,51.433864893456402,-0.020411770316258,"3",SE6 3BT
Belmont,525500,162098,51.344119924564907,-0.199489253183986,"5",SM2 6BH
Belsize Park,527399,185075,51.550190877683498,-0.163974492584094,"2",NW3 2AL
Belvedere,549498,179197,51.491959003101996,0.152033791924652,"5",DA17 6JW
Bermondsey,534461,179445,51.497960780257301,-0.064330090047704,"2",SE16 4RX
Berrylands,519728,168040,51.398768406045903,-0.280321477458493,"5",KT5 8LT
Bethnal Green,534995,182712,51.527191741205002,-0.055392111624538,"2",E2 0ET
Bethnal Green Rail,534683,182380,51.524282739366598,-0.060013742604310,"2",E2 6JL
Bexley,549399,173502,51.440814530537203,0.148203912973033,"6",DA5 1AQ
Bexleyheath,548294,176000,51.463549957587396,0.133362965018560,"5",DA7 4AA
Bickley,542304,168799,51.400379569187301,0.044304031580717,"5",BR1 2EB
Birkbeck,535297,168996,51.403863094305400,-0.056286235720335,"4",BR3 4TA
Blackfriars,531738,180890,51.511586927780201,-0.102995385235787,"1",EC4V 4DD
Blackheath,539604,175961,51.465408010912398,0.008336594707660,"3",SE3 9LE
Blackhorse Lane,534362,166844,51.384746183394903,-0.070533947899059,"3,4,5,6",CR0 6NL
Blackhorse Road,535914,189256,51.585776627067702,-0.039625711553213,"3",E17 6JJ
Blackwall,538394,180649,51.507831540533402,-0.007235165880044,"2",E14 9QB
Bond Street,528497,181053,51.513797524783797,-0.149613609827946,"1",W1C 2HU
Borough,532379,179734,51.501048869407001,-0.094197323149130,"1",SE1 1JX
Boston Manor,516391,178755,51.495765535296499,-0.324747188765788,"4",TW8 9LQ
Bounds Green,529996,191466,51.607031921240697,-0.124177065625754,"3,4",N11 2EU
Bow Church,537414,182824,51.527615203651997,-0.020499899199804,"2",E3 3AA
Bow Road,537148,182753,51.527041806757403,-0.024359590665109,"2",E3 4DH
Bowes Park,530299,191498,51.607249514695503,-0.119792219172905,"3,4",N22 8NL
Brent Cross,523905,187927,51.576599215060597,-0.213335840510563,"3",NW11 9UA
Brentford,517462,177864,51.487536307128693,-0.309622536694703,"4",TW8 9LF
Brentwood,559321,193036,51.613610336699203,0.299672816172118,"7",CM14 4EW
Brimsdown,536297,196997,51.655244614441003,-0.031092276944639,"5",EN3 7NA
Brixton,531076,175437,51.462736802074097,-0.114552097586618,"2",SW9 8HE
Brockley,536405,175801,51.464749662581397,-0.037748250547624,"2",SE4 2RW
Bromley North,540395,169699,51.408942311155698,0.017235451939687,"4",BR1 3NN
Bromley South,540431,168705,51.400001288708999,0.017359580478029,"5",BR1 1LX
Bromley-by-Bow,538034,182532,51.524840200182098,-0.011682374359927,"2,3",E3 3BT
Brondesbury,524718,184460,51.545262362378502,-0.202838485732291,"2",NW6 7QL
Brondesbury Park,524202,183898,51.540325365754597,-0.210473946681613,"2",NW6 6RP
Broxbourne,537407,207240,51.747015568088898,-0.011024083788315,"9",EN10 7AW
Bruce Grove,533758,190115,51.594011246233599,-0.070398989645739,"3",N17 8AD
Buckhurst Hill,541768,193957,51.626576660928002,0.046712541296572,"5",IG9 5ET
Burnt Oak,520303,190728,51.602551911810103,-0.264330712266273,"4",HA8 0LA
Bush Hill Park,533696,195396,51.641481959265498,-0.069280412500540,"5",EN1 1BA
Bushey,511860,195318,51.645544159502599,-0.384721541354714,"8",WD19 4ST
Caledonian Road,530568,184899,51.547885441027503,-0.118360861873635,"2",N7 9BA
Caledonian Road and Barnsbury,530800,184393,51.543284575419399,-0.115204856714900,"2",N1 0SL
Cambridge Heath,534855,183250,51.532059764208093,-0.057203200823544,"2",E2 7NA
Camden Road,529140,184191,51.541851234203598,-0.139203112522292,"2",NW1 9LQ
Camden Town,528920,183976,51.539969352276998,-0.142452381051009,"2",NW1 8NH
Canada Water,535399,179493,51.498168411844098,-0.050807120995405,"2",SE16 7BB
Canary Wharf,537558,180153,51.503578404368803,-0.019466840159664,"2",E14 4QS
Canning Town,539454,181350,51.513870287242000,0.008305632743937,"3",E16 1DQ
Cannon Street,532623,180888,51.511362088907099,-0.090250526883334,"1",EC4N 6AP
Canonbury,532355,184979,51.548188385176999,-0.092574195821121,"2",N1 2PG
Canons Park,518208,191246,51.607650569547801,-0.294391596540046,"5",HA8 6RN
Carpenders Park,511826,193386,51.628186717588598,-0.385829323805549,"7",WD19 7DT
Carshalton,527737,164858,51.368426365723998,-0.166398328000898,"5",SM5 2HT
Carshalton Beeches,527552,163625,51.357386840711698,-0.169496326135296,"5",SM5 3LG
Castle Bar Park,515853,181770,51.522973665283203,-0.331504076340438,"4",W7 1AY
Caterham,534099,155422,51.282162822606800,-0.078607298567441,"6",CR3 6LB
Catford,537245,173544,51.444264912020508,-0.026538498595421,"3",SE6 4XT
Catford Bridge,537363,173595,51.444694625056101,-0.024821875943796,"3",SE6 4RE
Centrale,532067,165785,51.375767467771603,-0.103888103843675,"3,4,5,6",CR0 1XT
Chadwell Heath,547646,187611,51.568046878226298,0.128901111583164,"5",RM6 4BE
Chafford Hundred,558922,178770,51.485554495917597,0.287475700682450,"7",RM16 6QQ
Chalfont and Latimer,499610,197550,51.667907479199499,-0.561067777319170,"8",HP7 9PR
Chalk Farm,528126,184421,51.544149086487600,-0.153733070875137,"2",NW3 2BP
Chancery Lane,531096,181642,51.518494016584697,-0.111962027485689,"1",WC1V 6DR
Charing Cross,530234,180492,51.508358630004800,-0.124802938133095,"1",WC2N 5HS
Charlton,541108,178387,51.486834988239401,0.030941644802429,"3",SE7 7AB
Cheam,524444,163334,51.355460242928103,-0.214211283594169,"5",SM3 8RZ
Chelsfield,546944,164021,51.356264582591493,0.108984119711242,"6",BR6 6EU
Chesham,496048,201650,51.705380020677303,-0.611429657125902,"9",HP5 1DH
Cheshunt,536652,202307,51.702873314750697,-0.023887415460790,"8",EN8 9AQ
Chessington North,518415,164168,51.364243442478298,-0.300476128855251,"6",KT9 2RT
Chessington South,517974,163319,51.356704530637501,-0.307089020685885,"6",KT9 2DD
Chigwell,543835,193045,51.617857872383397,0.076179215005296,"4",IG7 6NT
Chingford,539173,194628,51.633253373648003,0.009514325524674,"5",E4 6AL
Chipstead,527689,158275,51.309274982178700,-0.169445869499599,"6",CR5 3TD
Chislehurst,543205,169405,51.405598408406703,0.057491821448796,"5",BR7 5NN
Chiswick,520438,177182,51.480781494522802,-0.267013321856982,"3",W4 2QE
Chiswick Park,520352,178692,51.494370713986903,-0.267736922163610,"3",W4 5NE
Chorleywood,502596,196092,51.654265926423101,-0.518333926536853,"7",WD3 5ND
Church Street,532041,165555,51.373706561893002,-0.104346828895711,"3,4,5,6",CR0 1RN
City Thameslink,531688,181150,51.513935067762702,-0.103618449171561,"1",EC4M 7JH
Clapham Common,529428,175291,51.461803669852301,-0.138314902494851,"2",SW4 7AJ
Clapham High Street,529824,175709,51.465469513671501,-0.132464502577436,"2",SW4 6DQ
Clapham Junction,527198,175520,51.464366784275398,-0.170315002226266,"2",SW11 2QP
Clapham North,530003,175652,51.464916214992499,-0.129910062890382,"2",SW4 7TS
Clapham South,528782,174259,51.452676489115298,-0.147984069598376,"2,3",SW12 9DU
Clapton,534748,186531,51.561569087915203,-0.057489458453043,"2",E5 9JP
Clock House,536367,169545,51.408540560985507,-0.040702092590499,"4",BR3 4PR
Cockfosters,528087,196424,51.652024478869897,-0.149916711073587,"5",EN4 0DZ
Colindale,521295,189937,51.595230516049099,-0.250287543714841,"4",NW9 5HR
Colliers Wood,526831,170436,51.418759187761800,-0.177415099875595,"3",SW19 2HR
Coombe Lane,535201,164089,51.359789309490097,-0.059531571323665,"3,4,5,6",CR0 5RF
Coulsdon South,529869,159056,51.315800944170697,-0.137903090283073,"6",CR5 3EA
Coulsdon Town,530098,159802,51.322452953248003,-0.134347057284217,"6",CR5 2JA
Covent Garden,530242,180982,51.512760234858199,-0.124506894632723,"1",WC2E 9JT
Crayford,551479,174424,51.448546757006000,0.178502716278040,"6",DA1 3PY
Crews Hill,530973,200109,51.684474610941898,-0.106844100757440,"6",EN2 8AY
Cricklewood,524009,185907,51.558422668492298,-0.212547934101459,"3",NW2 1HL
Crofton Park,536517,174739,51.455179292291298,-0.036546581839275,"3",SE4 2RA
Crossharbour and London Arena,537896,179301,51.495839979218204,-0.014932813101888,"2",E14 8AD
Crouch Hill,530586,187508,51.571327097518200,-0.117133284889727,"3",N4 4AU
Croxley,507921,195395,51.647005280107003,-0.441603798252885,"7",WD3 3DY
Crystal Palace,534120,170557,51.418170351561798,-0.072607232760521,"3,4",SE19 2AZ
Custom House,540679,180911,51.509622056749897,0.025772510263947,"3",E16 3BX
Cutty Sark for Maritime Greenwich,538240,177764,51.481944467916001,-0.010581866729161,"2",SE10 9SW
Cyprus,543324,180863,51.508526581250003,0.063840755830206,"3",E6 5PH
Dagenham Dock,548900,183000,51.526287196845303,0.145031014043306,"5",RM9 6RA
Dagenham East,550284,185033,51.544187339015103,0.165833431683368,"5",RM10 8AA
Dagenham Heathway,549035,184665,51.541211790954698,0.147679720183138,"5",RM9 5AN
Dalston Junction,533580,184778,51.546093715652098,-0.074994204820963,"2",E8 3DL
Dalston Kingsland,533487,185062,51.548667818255502,-0.076226921950938,"2",E8 2JS
Debden,544275,196133,51.645492001721003,0.083801474837196,"6",IG10 3TG
Denmark Hill,532697,176087,51.468200639392798,-0.090987869578979,"2",SE5 8BB
Deptford,537165,177395,51.478890083593200,-0.026196319571605,"2",SE8 3NU
Deptford Bridge,537466,176912,51.474476771881001,-0.022052428800673,"2,3",SE10 8BU
Devons Road,537603,182233,51.522258467586902,-0.018007754192436,"2",E3 3QX
Dollis Hill,522207,185132,51.551850590714402,-0.238797761680588,"3",NW10 5NB
Drayton Green,516002,180998,51.516004675342899,-0.329611259707967,"4",W13 0JX
Drayton Park,531426,185499,51.553078306953502,-0.105770199748389,"2",N5 1NT
Dundonald Road,524741,170233,51.417398146730200,-0.207527112702531,"3,4,5,6",SW19 3QJ
Ealing Broadway,517920,180915,51.514861974896398,-0.302010381444888,"3",W5 2NU
Ealing Common,518963,180426,51.510248655726492,-0.287151417905478,"3",W5 3LD
Earls Court,525457,178480,51.491356671944800,-0.194313809287265,"1,2",SW5 9QA
Earlsfield,526081,173030,51.442238807384697,-0.187272688578691,"3",SW18 4SW
